active,area,configid,lat,long,meter number,sub area,zone
1,Route 17,4266,39.957127,-82.99316,SQ430,FIFTH ST S,"Columbus, OH Default Zone"
0,Route 17,1675,39.954807,-82.994835,SO609,FOURTH ST S,"Columbus, OH Default Zone"
1,Route 17,1675,39.95454,-82.99477,SO659,FOURTH ST S,"Columbus, OH Default Zone"
1,Route 17,985,39.9566,-82.99611,EE110,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,1703,39.956593,-82.99622,EE108,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,1675,39.95642,-82.99633,EE109,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,1675,39.95642,-82.99633,EE107,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,1675,39.95642,-82.99633,EE103,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,982,39.95795,-82.99488,EG207,RICH ST E,"Columbus, OH Default Zone"
1,Route 17,1675,39.9557,-82.995,SO551,FOURTH ST S,"Columbus, OH Default Zone"
1,Route 17,1675,39.95454,-82.99477,SO651,FOURTH ST S,"Columbus, OH Default Zone"
1,Route 17,1703,39.95656,-82.996475,EE102,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,1675,39.961178,-82.998795,EE155,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,1675,39.9569,-82.99522,SO459,FOURTH ST S,"Columbus, OH Default Zone"
1,Route 17,1675,39.95454,-82.99477,SO657,FOURTH ST S,"Columbus, OH Default Zone"
1,Route 17,982,39.956753,-82.99482,EE200,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,982,39.961178,-82.998795,EE207,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,1675,39.9559,-82.9966,SO401,FOURTH ST S,"Columbus, OH Default Zone"
1,Route 17,1675,39.95631,-82.99511,SO501,FOURTH ST S,"Columbus, OH Default Zone"
1,Route 17,982,39.961178,-82.998795,EE209,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,1675,39.95641,-82.99492,SO502,FOURTH ST S,"Columbus, OH Default Zone"
1,Route 17,5743,39.956512,-82.99556,EE154,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,1703,39.95658,-82.99631,EE106,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,979,39.95668,-82.99696,SM421,THIRD ST S,"Columbus, OH Default Zone"
1,Route 17,982,39.956768,-82.99462,EE206,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,1703,39.95656,-82.99655,EE100,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,1675,39.95642,-82.99633,EE105,MAIN ST E,"Columbus, OH Default Zone"
1,Route 17,982,39.958233,-82.993805,EG220,RICH ST E,"Columbus, OH Default Zone"
